car_name,brand,model,vehicle_age,km_driven,mileage,max_power,seats,selling_price
Maruti Wagon R,Maruti,Wagon R,7,21717,20.51,67.04,5,340000
Hyundai Venue,Hyundai,Venue,2,5400,18.27,118.35,5,985000
Maruti Alto,Maruti,Alto,16,70000,19.7,46.3,5,85000
Maruti Alto,Maruti,Alto,5,50000,22.74,47.3,5,200000
Maruti Wagon R,Maruti,Wagon R,3,80000,20.51,67,5,400000
Maruti Wagon R,Maruti,Wagon R,6,20292,20.51,67.04,5,335000
Renault KWID,Renault,KWID,3,25000,24.04,67,5,370000
Maruti Wagon R,Maruti,Wagon R,15,70000,18.9,67.1,5,200000
Maruti Celerio,Maruti,Celerio,4,10000,23.1,67.04,5,450000
Maruti Alto,Maruti,Alto,12,43000,19.7,46.3,5,140000
Maruti Wagon R,Maruti,Wagon R,7,30000,20.51,67.06,5,325000
Maruti Celerio,Maruti,Celerio,3,28000,31.79,58.33,5,455000
Maruti Alto,Maruti,Alto,7,65000,23.95,67.05,5,245000
Renault KWID,Renault,KWID,3,15000,24.04,67,5,310000
Ford Ecosport,Ford,Ecosport,2,15000,18.1,123.24,5,1000000
Maruti Alto,Maruti,Alto,9,60000,20.92,67.1,5,210000
Maruti Alto,Maruti,Alto,8,120000,22.74,47.3,5,200000
Renault KWID,Renault,KWID,2,2500,23.01,67,5,400000
Maruti Celerio,Maruti,Celerio,5,46500,23.1,67.04,5,340000
Maruti Alto,Maruti,Alto,16,5000,19.7,46.3,5,95000
Maruti Alto,Maruti,Alto,3,22000,24.7,47.3,5,304000
Maruti Alto,Maruti,Alto,16,56700,19.7,46.3,5,75000
Maruti Alto,Maruti,Alto,9,28000,19.7,46.3,5,180000
Maruti Wagon R,Maruti,Wagon R,5,83000,26.6,58.16,5,345000
Maruti Alto,Maruti,Alto,6,33000,22.74,47.3,5,260000
Maruti Alto,Maruti,Alto,5,45000,30.46,47.3,5,350000
Renault KWID,Renault,KWID,3,10103,25.17,53.3,5,325000
Maruti Celerio,Maruti,Celerio,2,30000,23.1,67.04,5,400000
Maruti Wagon R,Maruti,Wagon R,10,83000,18.9,67.1,5,180000
Maruti Alto,Maruti,Alto,10,40000,19.7,46.3,5,170000
Maruti Alto,Maruti,Alto,7,70000,23.95,67.05,5,250000
Maruti Alto,Maruti,Alto,10,50000,20.92,67.1,5,250000
Maruti Wagon R,Maruti,Wagon R,16,33650,18.9,67.1,5,110000
Maruti Celerio,Maruti,Celerio,3,100000,23.1,67.04,5,450000
Maruti Wagon R,Maruti,Wagon R,5,58000,26.2,58.2,5,275000
Maruti Wagon R,Maruti,Wagon R,5,60000,20.51,67.04,5,380000
Maruti Wagon R,Maruti,Wagon R,5,25000,20.51,67.04,5,380000
Maruti Alto,Maruti,Alto,5,42000,33.44,40.3,4,260000
Maruti Alto,Maruti,Alto,8,31000,20.92,67.1,5,230000
Maruti Alto,Maruti,Alto,5,71000,24.7,47.3,5,299000
Hyundai Venue,Hyundai,Venue,2,27594,18.27,118.35,5,995000
Maruti Alto,Maruti,Alto,10,11266,20.92,67.1,5,235000
Renault KWID,Renault,KWID,5,41000,25.17,53.3,5,235000
Maruti Wagon R,Maruti,Wagon R,6,120000,20.51,67.04,5,300000
Renault KWID,Renault,KWID,5,50000,25.17,53.3,5,250000
Renault KWID,Renault,KWID,3,10000,23.01,67,5,350000
Maruti Wagon R,Maruti,Wagon R,4,70000,20.51,67.04,5,360000
Maruti Wagon R,Maruti,Wagon R,17,50000,18.9,67.1,5,62000
Datsun RediGO,Datsun,RediGO,3,20000,22.7,53.64,5,210000
Maruti Alto,Maruti,Alto,5,50000,24.7,47.3,5,220000
Maruti Alto,Maruti,Alto,1,5000,22.05,47.3,5,350000
Renault KWID,Renault,KWID,2,25000,25.17,53.3,5,300000
Maruti Alto,Maruti,Alto,11,100000,20.92,67.1,5,168000
Renault KWID,Renault,KWID,2,10000,24.04,67,5,400000
Maruti Alto,Maruti,Alto,9,41321,19.7,46.3,5,185000
Maruti Wagon R,Maruti,Wagon R,12,113000,21.79,67.05,5,135000
Maruti Wagon R,Maruti,Wagon R,14,63000,21.79,67.05,5,120000
Maruti Celerio,Maruti,Celerio,3,18000,21.63,67,5,460000
Maruti Alto,Maruti,Alto,10,35000,20.92,67.1,5,220000
Renault Triber,Renault,Triber,1,1784,20,71,7,660000
Maruti Alto,Maruti,Alto,8,76000,20.92,67.1,5,211000
Maruti Alto,Maruti,Alto,10,55780,20.92,67.1,5,220000
Maruti Alto,Maruti,Alto,14,52235,19.7,46.3,5,110000
Maruti Alto,Maruti,Alto,9,37000,20.92,67.1,5,250000
Datsun RediGO,Datsun,RediGO,4,40000,22.5,67,5,295000
Renault KWID,Renault,KWID,3,22000,23.01,67,5,306000
Maruti Celerio,Maruti,Celerio,5,62000,23.1,67.04,5,415000
Maruti Alto,Maruti,Alto,5,10000,23.95,67.05,5,315000
Hyundai Venue,Hyundai,Venue,2,34000,18.15,118.35,5,1050000
Maruti Alto,Maruti,Alto,16,120000,19.7,46.3,5,95000
Maruti Alto,Maruti,Alto,16,40000,19.7,46.3,5,121000
Maruti Alto,Maruti,Alto,6,20000,23.95,67.05,5,275000
Maruti Celerio,Maruti,Celerio,3,24000,21.63,67.04,5,495000
Datsun RediGO,Datsun,RediGO,3,30000,22.5,67,5,270000
Maruti Wagon R,Maruti,Wagon R,8,67000,32.52,58.33,5,260000
Maruti Alto,Maruti,Alto,5,10000,23.95,67.05,5,300000
Maruti Alto,Maruti,Alto,7,14971,22.74,47.3,5,230000
Maruti Wagon R,Maruti,Wagon R,7,50000,20.51,67.04,5,350000
Maruti Wagon R,Maruti,Wagon R,6,38546,20.51,67.04,5,330000
Maruti Alto,Maruti,Alto,17,80000,19.7,46.3,5,80000
Renault KWID,Renault,KWID,4,40000,23.01,67,5,260000
Maruti Alto,Maruti,Alto,18,120000,19.7,46.3,5,65000
Renault KWID,Renault,KWID,4,10000,24.04,67,5,341000
Maruti Alto,Maruti,Alto,2,10300,24.7,47.3,5,300000
Maruti Alto,Maruti,Alto,5,25000,23.95,67.05,5,350000
Maruti Alto,Maruti,Alto,6,90000,22.74,47.3,5,200000
Maruti Wagon R,Maruti,Wagon R,9,59000,18.9,67.1,5,300000
Maruti Wagon R,Maruti,Wagon R,3,45874,26.6,58.16,5,357000
Maruti Wagon R,Maruti,Wagon R,7,50000,20.51,67.04,5,295000
Maruti S-Presso,Maruti,S-Presso,2,8400,21.7,67,5,420000
Maruti Celerio,Maruti,Celerio,7,9000,23.1,67.04,5,360000
Maruti Celerio,Maruti,Celerio,6,17000,23.1,67.04,5,425000
Maruti Alto,Maruti,Alto,18,90000,19.7,46.3,5,80000
Maruti Alto,Maruti,Alto,5,30000,22.74,47.3,5,225000
Maruti Wagon R,Maruti,Wagon R,6,114183,21.79,67.05,5,350000
Maruti Wagon R,Maruti,Wagon R,10,53000,20.51,67.04,5,275000
Datsun RediGO,Datsun,RediGO,2,10000,22.7,53.64,5,260000
Maruti Wagon R,Maruti,Wagon R,14,80000,21.79,67.05,5,85000
Maruti Alto,Maruti,Alto,16,120000,19.7,46.3,5,90000
Maruti Alto,Maruti,Alto,7,34000,23.95,67.05,5,251000
Datsun RediGO,Datsun,RediGO,5,10000,22.7,53.64,5,245000
Maruti Alto,Maruti,Alto,8,47000,20.92,67.1,5,280000
Maruti Wagon R,Maruti,Wagon R,9,100000,18.9,67.1,5,225000
Maruti Alto,Maruti,Alto,7,52000,23.95,67.05,5,244000
Maruti Alto,Maruti,Alto,7,50080,22.74,47.3,5,225000
Maruti Celerio,Maruti,Celerio,4,20000,23.1,67.04,5,450000
Maruti Wagon R,Maruti,Wagon R,3,50000,20.51,67.04,5,400000
Maruti Alto,Maruti,Alto,2,12955,23.95,67.1,5,375000
Maruti Celerio,Maruti,Celerio,2,10000,23.1,67.04,5,480000
Maruti Wagon R,Maruti,Wagon R,3,16631,20.51,67.04,5,410000
Maruti Wagon R,Maruti,Wagon R,8,58000,18.9,67.1,5,248000
Maruti Alto,Maruti,Alto,11,43000,19.7,46.3,5,170000
Maruti Wagon R,Maruti,Wagon R,9,16000,18.9,67.1,5,400000
Maruti Wagon R,Maruti,Wagon R,5,26000,18.9,67.1,5,375000
Maruti Alto,Maruti,Alto,9,10000,20.92,67.1,5,225000
Renault KWID,Renault,KWID,4,30000,25.17,53.3,5,300000
Maruti Alto,Maruti,Alto,5,120000,22.74,47.3,5,198000
Maruti Alto,Maruti,Alto,5,50000,22.74,47.3,5,235000
Renault KWID,Renault,KWID,3,20000,23.01,67,5,367000
Maruti Alto,Maruti,Alto,8,70000,20.92,67.1,5,220000
Maruti Wagon R,Maruti,Wagon R,3,60000,20.51,67.04,5,375000
Maruti Alto,Maruti,Alto,9,24943,23.95,67.05,5,235000
Maruti Wagon R,Maruti,Wagon R,3,25000,20.51,67.04,5,400000
Maruti Wagon R,Maruti,Wagon R,9,20000,18.9,67.1,5,230000
Renault Triber,Renault,Triber,2,10000,20,72,7,550000
Maruti Alto,Maruti,Alto,7,35000,22.74,47.3,5,250000
Maruti Alto,Maruti,Alto,17,80000,19.7,46.3,5,77000
Maruti Celerio,Maruti,Celerio,2,50000,21.63,67,5,500000
Maruti Celerio,Maruti,Celerio,7,110000,23.1,67.04,5,250000
Maruti Alto,Maruti,Alto,15,30000,19.7,46.3,5,135000
Maruti Celerio,Maruti,Celerio,7,76000,23.1,67.04,5,315000
Maruti Alto,Maruti,Alto,6,35100,23.95,67.05,5,290000
Maruti Alto,Maruti,Alto,13,97000,19.7,46.3,5,95000
Maruti Alto,Maruti,Alto,10,39513,23.95,67.05,5,200000
Maruti Wagon R,Maruti,Wagon R,6,50000,20.51,67.04,5,400000
Renault KWID,Renault,KWID,5,80000,25.17,53.3,5,250000
Hyundai Venue,Hyundai,Venue,2,3800,18.27,118.35,5,950000
Maruti Celerio,Maruti,Celerio,4,25000,23.1,67.04,5,345000
Renault KWID,Renault,KWID,5,25000,23.01,67,5,300000
Maruti Wagon R,Maruti,Wagon R,10,64000,26.2,58.2,5,225000
Maruti Alto,Maruti,Alto,7,75001,19.7,46.3,5,175000
Maruti Wagon R,Maruti,Wagon R,4,32013,33.54,67.04,5,380000
Maruti Alto,Maruti,Alto,7,70000,20.92,67.1,5,245000
Maruti Wagon R,Maruti,Wagon R,6,15000,20.51,67.04,5,350000
Maruti Celerio,Maruti,Celerio,7,23970,23.1,67.04,5,350000
Maruti Wagon R,Maruti,Wagon R,9,120000,26.2,58.2,5,260000
Maruti Wagon R,Maruti,Wagon R,6,15000,20.51,67.04,5,300000
Maruti Wagon R,Maruti,Wagon R,9,95000,26.6,58.16,5,190000
Maruti Wagon R,Maruti,Wagon R,2,15000,21.79,67.05,5,475000
Maruti Alto,Maruti,Alto,11,83000,19.7,46.3,5,190000
Maruti Wagon R,Maruti,Wagon R,11,61000,20.51,67.04,5,195000
Maruti Alto,Maruti,Alto,1,10000,22.05,47.3,5,370000
Maruti Alto,Maruti,Alto,3,20000,24.7,47.3,5,310000
Maruti Celerio,Maruti,Celerio,6,49955,21.63,67.04,5,400000
Maruti Wagon R,Maruti,Wagon R,3,15000,20.51,67,5,450000
Maruti Wagon R,Maruti,Wagon R,6,60000,20.51,67.04,5,325000
Maruti Alto,Maruti,Alto,4,10000,24.7,47.3,5,260000
Maruti Alto,Maruti,Alto,11,48156,19.7,46.3,5,135000
Maruti Wagon R,Maruti,Wagon R,13,58000,18.9,67.1,5,125000
Datsun RediGO,Datsun,RediGO,4,15000,22.5,67,5,300000
Maruti Celerio,Maruti,Celerio,4,30000,27.62,47,5,350000
Maruti Alto,Maruti,Alto,4,14400,23.95,67.05,5,320000
Renault KWID,Renault,KWID,2,5700,23.01,67,5,360000
Maruti Wagon R,Maruti,Wagon R,5,120000,20.51,67.04,5,290000
Maruti Wagon R,Maruti,Wagon R,9,60000,18.9,67.1,5,250000
Maruti Alto,Maruti,Alto,11,35760,23.95,67.05,5,205000
Maruti Wagon R,Maruti,Wagon R,5,30000,20.51,67.04,5,340000
Maruti Wagon R,Maruti,Wagon R,14,80000,20.51,67.04,5,85000
Maruti Alto,Maruti,Alto,3,40000,24.7,47.3,5,270000
Maruti Wagon R,Maruti,Wagon R,4,50000,26.6,58.16,5,400000
Volkswagen Polo,Volkswagen,Polo,8,48000,18.78,75,5,325000
Maruti Celerio,Maruti,Celerio,3,15978,23.1,67.04,5,465000
Maruti Wagon R,Maruti,Wagon R,7,89000,32.52,58.33,5,310000
Maruti Wagon R,Maruti,Wagon R,7,41123,20.51,67.04,5,385000
Maruti Wagon R,Maruti,Wagon R,6,55000,33.54,67.04,5,335000
Maruti Celerio,Maruti,Celerio,4,15000,23.1,67.04,5,440000
Datsun RediGO,Datsun,RediGO,2,14322,22.7,53.64,5,315000
Maruti Wagon R,Maruti,Wagon R,5,29000,20.51,67,5,450000
Renault KWID,Renault,KWID,5,95518,23.01,67,5,295000
Maruti Wagon R,Maruti,Wagon R,7,25978,18.9,67.1,5,325000
Maruti Celerio,Maruti,Celerio,4,25000,23.1,67.04,5,500000
Maruti Celerio,Maruti,Celerio,7,66000,31.79,58.2,5,360000
Maruti Wagon R,Maruti,Wagon R,12,87000,18.9,67.1,5,200000
Datsun RediGO,Datsun,RediGO,2,10000,22.7,53.64,5,320000
Renault KWID,Renault,KWID,4,19000,24.04,67,5,365000
Maruti Wagon R,Maruti,Wagon R,5,41224,26.6,58.16,5,395000
Datsun RediGO,Datsun,RediGO,4,45000,22.5,67,5,255000
Maruti Wagon R,Maruti,Wagon R,6,56000,20.51,67.04,5,395000
Maruti Alto,Maruti,Alto,5,60000,22.74,47.3,5,264000
Maruti Celerio,Maruti,Celerio,5,52250,23.1,67.04,5,395000
Maruti Alto,Maruti,Alto,10,52349,20.92,67.1,5,214000
Renault KWID,Renault,KWID,5,21445,25.17,53.3,5,345000
Maruti Alto,Maruti,Alto,9,53800,26.83,38.4,5,235000
Datsun redi-GO,Datsun,redi-GO,3,5986,22,67.05,5,375000
Maruti Alto,Maruti,Alto,9,43000,19.7,46.3,5,230000
Maruti Alto,Maruti,Alto,13,80000,19.7,46.3,5,135000
Maruti Alto,Maruti,Alto,12,46000,19.7,46.3,5,150000
Maruti Wagon R,Maruti,Wagon R,9,42710,18.9,67.1,5,285000
Maruti Wagon R,Maruti,Wagon R,7,43000,20.51,67.04,5,380000
Maruti Alto,Maruti,Alto,6,70000,22.74,47.3,5,210000
Maruti Alto,Maruti,Alto,6,34000,22.74,47.3,5,255000
Maruti Alto,Maruti,Alto,12,25000,19.7,46.3,5,155000
Renault KWID,Renault,KWID,4,33000,23.01,67,5,360000
Maruti Wagon R,Maruti,Wagon R,12,23710,18.9,67.1,5,190000
Renault KWID,Renault,KWID,3,36000,24.04,67,5,395000
Maruti Celerio,Maruti,Celerio,4,15500,23.1,67.04,5,485000
Maruti Wagon R,Maruti,Wagon R,6,50000,26.6,58.16,5,450000
Ford Ecosport,Ford,Ecosport,6,39720,18.88,123.24,5,650000
Maruti Wagon R,Maruti,Wagon R,13,55000,21.79,67.05,5,175000
Maruti Wagon R,Maruti,Wagon R,16,138008,18.9,67.1,5,110000
Maruti Celerio,Maruti,Celerio,5,16000,23.1,67.04,5,445000
Renault KWID,Renault,KWID,5,35000,25.17,53.3,5,299000
Maruti Wagon R,Maruti,Wagon R,4,17745,20.51,67.04,5,500000
Maruti Celerio,Maruti,Celerio,5,36000,23.1,67.04,5,450000
Maruti Wagon R,Maruti,Wagon R,5,60000,20.51,67.04,5,350000
Maruti Wagon R,Maruti,Wagon R,10,75000,26.6,58.16,5,275000
Maruti Alto,Maruti,Alto,7,45000,23.95,67.05,5,250000
Volkswagen Polo,Volkswagen,Polo,3,14000,18.24,108.62,5,655000
Renault KWID,Renault,KWID,4,15000,25.17,53.3,5,350000
Renault KWID,Renault,KWID,4,16000,23.01,67,5,315000
Maruti Alto,Maruti,Alto,12,60000,19.7,46.3,5,125000
Maruti Wagon R,Maruti,Wagon R,8,83000,18.9,67.1,5,335000
Maruti Wagon R,Maruti,Wagon R,6,40000,20.51,67.04,5,350000
Maruti Alto,Maruti,Alto,4,34153,24.7,47.3,5,320000
Maruti Wagon R,Maruti,Wagon R,10,48000,18.9,67.1,5,235000
Maruti Wagon R,Maruti,Wagon R,8,60000,20.51,67.04,5,260000
Maruti Wagon R,Maruti,Wagon R,8,62500,21.79,67.05,5,300000
Maruti Alto,Maruti,Alto,4,90000,24.7,47.3,5,255000
Maruti Wagon R,Maruti,Wagon R,8,55149,20.51,67.04,5,311000
Maruti Celerio,Maruti,Celerio,4,66000,31.79,58.2,5,450000
Renault KWID,Renault,KWID,3,10000,23.01,67,5,385000
Maruti Alto,Maruti,Alto,10,69000,19.7,46.3,5,140000
Maruti Wagon R,Maruti,Wagon R,5,51000,26.6,58.16,5,375000
Maruti Wagon R,Maruti,Wagon R,11,57000,18.9,67.1,5,211000
Maruti Alto,Maruti,Alto,2,7602,23.95,67.05,5,425000
Maruti Alto,Maruti,Alto,13,30000,19.7,46.3,5,175000
Maruti Wagon R,Maruti,Wagon R,8,50287,20.51,67.04,5,360000
Renault KWID,Renault,KWID,4,54000,24.04,67,5,345000
Maruti Alto,Maruti,Alto,4,9210,24.7,47.3,5,310000
Maruti Celerio,Maruti,Celerio,2,18000,23.1,67.04,5,445000
Maruti Wagon R,Maruti,Wagon R,7,101200,18.9,67.1,5,380000
Maruti Alto,Maruti,Alto,11,50000,19.7,46.3,5,140000
Datsun RediGO,Datsun,RediGO,3,15000,22.7,53.64,5,340000
Hyundai Venue,Hyundai,Venue,1,3200,18.15,118.35,5,1240000
Volkswagen Polo,Volkswagen,Polo,3,15000,18.78,75,5,595000
Hyundai Venue,Hyundai,Venue,2,16000,18.27,118.35,5,975000
Renault KWID,Renault,KWID,5,37250,25.17,53.3,5,325000
Maruti Alto,Maruti,Alto,5,13000,23.95,67.05,5,299000
Maruti Alto,Maruti,Alto,5,23774,23.95,67.05,5,335000
Maruti Alto,Maruti,Alto,10,38643,20.92,67.1,5,180000
Maruti Alto,Maruti,Alto,10,53000,23.95,67.05,5,235000
Maruti Alto,Maruti,Alto,9,120000,22.74,47.3,5,140000
Maruti Wagon R,Maruti,Wagon R,4,18000,20.51,67,5,475000
Maruti Wagon R,Maruti,Wagon R,10,120000,26.2,58.2,5,200000
Maruti Alto,Maruti,Alto,5,28000,23.95,67.1,5,350000
Maruti Alto,Maruti,Alto,5,26000,30.46,47.3,5,280000
Maruti Celerio,Maruti,Celerio,5,43782,23.1,67.04,5,425000
Maruti Wagon R,Maruti,Wagon R,4,15000,20.51,67,5,505000
Maruti Wagon R,Maruti,Wagon R,7,34000,20.51,67.04,5,325000
Maruti Alto,Maruti,Alto,8,60000,22.74,47.3,5,180000
Maruti Wagon R,Maruti,Wagon R,6,48000,26.6,58.16,5,325000
Maruti Alto,Maruti,Alto,11,69000,20.92,67.1,5,150000
Maruti Alto,Maruti,Alto,5,65000,22.74,47.3,5,285000
Maruti Celerio,Maruti,Celerio,5,16393,21.63,67.04,5,450000
Maruti Wagon R,Maruti,Wagon R,7,87500,26.2,58.2,5,340000
Maruti Wagon R,Maruti,Wagon R,5,30000,20.51,67,5,425000
Maruti Celerio,Maruti,Celerio,2,19000,30.47,58.33,5,529000
Maruti Alto,Maruti,Alto,4,33000,24.7,47.3,5,330000
Maruti Alto,Maruti,Alto,11,70000,20.92,67.1,5,180000
Renault KWID,Renault,KWID,4,36000,24.04,67,5,411000
Maruti Alto,Maruti,Alto,7,62485,22.74,47.3,5,260000
Maruti Wagon R,Maruti,Wagon R,9,30000,18.9,67.1,5,300000
Maruti Wagon R,Maruti,Wagon R,8,57000,32.52,58.33,5,265000
Renault KWID,Renault,KWID,3,15000,25.17,53.3,5,331000
Maruti Wagon R,Maruti,Wagon R,7,44000,20.51,67.04,5,325000
Maruti Wagon R,Maruti,Wagon R,9,80000,18.9,67.1,5,275000
Maruti Wagon R,Maruti,Wagon R,6,33766,20.51,67.04,5,372000
Maruti Celerio,Maruti,Celerio,7,91000,31.79,58.2,5,310000
Maruti Alto,Maruti,Alto,10,50000,19.7,46.3,5,185000
Maruti Wagon R,Maruti,Wagon R,10,48000,21.79,67.05,5,245000
Maruti Wagon R,Maruti,Wagon R,5,22000,26.6,58.16,5,415000
Maruti Alto,Maruti,Alto,5,9223,22.74,47.3,5,300000
Renault KWID,Renault,KWID,4,35000,24.04,67,5,349000
Maruti Alto,Maruti,Alto,4,27000,24.7,47.3,5,290000
Maruti Wagon R,Maruti,Wagon R,9,62000,33.54,67.04,5,340000
Maruti Wagon R,Maruti,Wagon R,7,27066,21.79,67.05,5,325000
Maruti Alto,Maruti,Alto,3,20000,23.95,67.05,5,375000
Maruti Alto,Maruti,Alto,6,90145,22.74,47.3,5,290000
Maruti Alto,Maruti,Alto,10,70000,20.92,67.1,5,180000
Renault KWID,Renault,KWID,3,15300,23.01,67,5,411000
Renault KWID,Renault,KWID,4,11000,24.04,67,5,400000
Maruti Wagon R,Maruti,Wagon R,8,40200,18.9,67.1,5,325000
Maruti Wagon R,Maruti,Wagon R,7,135975,33.54,67.04,5,295000
Maruti Alto,Maruti,Alto,10,72000,19.7,46.3,5,185000
Maruti Celerio,Maruti,Celerio,4,22000,23.1,67.04,5,475000
Maruti Wagon R,Maruti,Wagon R,9,63000,26.2,58.2,5,295000
Maruti Wagon R,Maruti,Wagon R,8,40000,18.9,67.1,5,320000
Renault KWID,Renault,KWID,4,18000,23.01,67,5,315000
Maruti Wagon R,Maruti,Wagon R,8,63000,33.54,67.04,5,351000
Maruti Wagon R,Maruti,Wagon R,8,43779,20.51,67.04,5,320000
Maruti Wagon R,Maruti,Wagon R,5,72829,21.79,67.05,5,400000
Maruti Alto,Maruti,Alto,11,67789,19.7,46.3,5,175000
Maruti Alto,Maruti,Alto,4,15798,23.95,67.05,5,365000
Maruti S-Presso,Maruti,S-Presso,2,3000,21.7,67,5,432000
Renault KWID,Renault,KWID,5,25000,25.17,53.3,5,270000
Maruti Wagon R,Maruti,Wagon R,4,51000,20.51,67,5,450000
Maruti S-Presso,Maruti,S-Presso,2,8500,21.7,67,5,430000
Maruti Alto,Maruti,Alto,4,5914,23.95,67.05,5,345000
Maruti Wagon R,Maruti,Wagon R,10,50000,26.2,58.2,5,225000
Maruti Wagon R,Maruti,Wagon R,5,30000,26.2,58.2,5,375000
Maruti Wagon R,Maruti,Wagon R,3,15000,20.51,67.04,5,480000
Maruti Alto,Maruti,Alto,5,24000,22.74,47.3,5,275000
Maruti Wagon R,Maruti,Wagon R,14,35986,18.9,67.1,5,150000
Maruti Celerio,Maruti,Celerio,7,33231,23.1,67.04,5,375000
Maruti Alto,Maruti,Alto,4,6808,23.95,67.05,5,369000
Maruti Alto,Maruti,Alto,6,19074,22.74,47.3,5,275000
Maruti Alto,Maruti,Alto,4,70000,24.07,67.1,5,300000
Maruti Alto,Maruti,Alto,7,16600,22.74,47.3,5,265000
Renault KWID,Renault,KWID,4,19000,25.17,53.3,5,335000
Renault KWID,Renault,KWID,4,19200,24.04,67,5,349000
Renault KWID,Renault,KWID,4,20000,23.01,67,5,350000
Maruti Alto,Maruti,Alto,15,15000,19.7,46.3,5,120000
Maruti Celerio,Maruti,Celerio,3,30700,21.63,67,5,521000
Maruti Alto,Maruti,Alto,29,22612,22.05,47.3,5,60000
Renault KWID,Renault,KWID,3,10000,23.01,67,5,350000
Maruti Alto,Maruti,Alto,7,40000,22.74,47.3,5,166000
Renault KWID,Renault,KWID,6,45006,25.17,53.3,5,269000
Maruti Alto,Maruti,Alto,5,20000,23.95,67.05,5,315000
Maruti Wagon R,Maruti,Wagon R,7,61000,20.51,67.04,5,350000
Maruti Alto,Maruti,Alto,6,70000,22.74,47.3,5,240000
Maruti Alto,Maruti,Alto,3,5917,23.95,67.05,5,371000
Renault KWID,Renault,KWID,5,7000,22.3,53.26,5,325000
Renault KWID,Renault,KWID,3,42000,23.01,67,5,400000
Ford Ecosport,Ford,Ecosport,8,56260,18.88,123.37,5,499000
Maruti Wagon R,Maruti,Wagon R,14,115000,21.79,67.05,5,110000
Maruti Alto,Maruti,Alto,13,50000,19.7,46.3,5,145000
Renault KWID,Renault,KWID,4,8560,24.04,67,5,371000
Maruti Wagon R,Maruti,Wagon R,6,39983,21.79,67.05,5,425000
Maruti Wagon R,Maruti,Wagon R,6,40000,20.51,67.04,5,450000
Ford Ecosport,Ford,Ecosport,7,44406,18.88,123.24,5,650000
Datsun RediGO,Datsun,RediGO,4,20000,22.5,67,5,271000
Maruti Wagon R,Maruti,Wagon R,11,75008,18.9,67.1,5,240000
Maruti Alto,Maruti,Alto,7,56332,23.95,67.05,5,285000
Maruti Celerio,Maruti,Celerio,6,36000,31.79,58.2,5,422000
Maruti Wagon R,Maruti,Wagon R,8,55853,33.54,67.04,5,349000
Maruti Wagon R,Maruti,Wagon R,8,58288,26.2,58.2,5,350000
Maruti Wagon R,Maruti,Wagon R,11,49000,18.9,67.1,5,220000
